Rank,Country,Coal CO2 (Mt),Total CO2 (Mt),Coal % of Total,% of Global Coal CO2
1,China,8886.021,12289.037,72.31,58.96
2,India,2108.033,3193.478,66.01,13.99
3,United States,732.886,4904.12,14.94,4.86
4,Indonesia,436.117,812.22,53.69,2.89
5,Japan,380.972,961.867,39.61,2.53
6,Russia,375.647,1780.524,21.1,2.49
7,South Africa,371.358,439.831,84.43,2.46
8,South Korea,247.465,583.679,42.4,1.64
9,Vietnam,229.186,370.931,61.79,1.52
10,Turkey,209.284,513.035,40.79,1.39
11,Germany,162.639,572.319,28.42,1.08
12,Kazakhstan,160.167,287.006,55.81,1.06
13,Australia,142.549,386.732,36.86,0.95
14,Taiwan,141.109,262.345,53.79,0.94
15,Poland,127.311,272.862,46.66,0.84
16,Malaysia,97.57,290.224,33.62,0.65
17,Philippines,92.142,174.878,52.69,0.61
18,Thailand,60.216,267.76,22.49,0.4
19,North Korea,57.153,62.55,91.37,0.38
20,Ukraine,54.556,142.498,38.29,0.36
