Country,Peak Year,Peak Coal CO2 (Mt),Latest Coal CO2 (Mt),Change from Peak (%),Status
China,2024,8886.02,8886.02,0.0,Growing
India,2024,2108.03,2108.03,0.0,Growing
United States,2005,2139.95,732.89,-65.8,Declining
Indonesia,2024,436.12,436.12,0.0,Growing
Japan,2013,475.3,380.97,-19.8,Recent decline
Russia,1988,916.02,375.65,-59.0,Declining
South Africa,2008,418.28,371.36,-11.2,Plateau
South Korea,2018,340.35,247.46,-27.3,Declining
Vietnam,2024,229.19,229.19,0.0,Growing
Turkey,2024,209.28,209.28,0.0,Growing
Germany,1963,761.43,162.64,-78.6,Declining
Kazakhstan,1988,195.43,160.17,-18.0,Recent decline
Australia,2009,206.07,142.55,-30.8,Declining
Taiwan,2021,167.94,141.11,-16.0,Recent decline
Poland,1987,394.74,127.31,-67.7,Declining
Malaysia,2024,97.57,97.57,0.0,Growing
Philippines,2024,92.14,92.14,0.0,Growing
Thailand,2018,78.56,60.22,-23.4,Declining
North Korea,1989,192.16,57.15,-70.3,Declining
Ukraine,1985,371.36,54.56,-85.3,Declining
